"""strain"" genes"	p value	FDR	CFT073	IAI1	K12	Sakai	Product
recD	8.6E-06	1.1E-03	10.9	11.4	9.6	12.2	exonuclease V (RecBCD complex), alpha chain
yehD	8.7E-06	1.1E-03	11.2	11.5	11.8	9.4	putative fimbrial-like adhesin protein
pabA	8.8E-06	1.1E-03	11.6	11.7	11.3	9.4	aminodeoxychorismate synthase, subunit II
yjgN	9.0E-06	1.1E-03	12.4	9.9	11.2	10.5	fragment of conserved hypothetical protein; putative inner membrane protein (part 1)
fadD	9.2E-06	1.1E-03	10.6	9.7	11.4	12.3	acyl-CoA synthetase (long-chain-fatty-acid--CoA ligase)
yfhB	9.9E-06	1.1E-03	11.5	11.2	11.9	9.4	conserved hypothetical protein
ydiP	1.0E-05	1.1E-03	11.1	11.7	11.8	9.5	putative DNA-binding transcriptional regulator
yhjK	1.1E-05	1.2E-03	11.9	11.2	11.4	9.5	putative diguanylate cyclase
wcaL	1.3E-05	1.3E-03	12.4	10.3	10.0	11.3	putative glycosyl transferase
yqhC	1.4E-05	1.3E-03	12.6	10.1	10.5	10.7	putative DNA-binding transcriptional regulator
gmd	1.4E-05	1.3E-03	10.7	10.3	10.4	12.6	GDP-D-mannose dehydratase, NAD(P)-binding
sgrR	1.4E-05	1.3E-03	11.4	12.3	9.7	10.6	DNA-binding transcriptional regulator
ubiX	1.6E-05	1.4E-03	12.0	11.5	9.5	10.9	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
yccX	2.0E-05	1.7E-03	12.0	11.8	10.4	9.8	fragment of acylphosphatase (partial)
gudX	2.2E-05	1.7E-03	11.1	9.5	11.6	11.9	glucarate dehydratase
ylbF	2.3E-05	1.7E-03	11.3	9.4	11.9	11.4	conserved hypothetical protein
smpB	2.3E-05	1.7E-03	11.1	11.8	11.6	9.4	trans-translation protein
phpB	2.3E-05	1.7E-03	12.5	10.2	10.4	10.9	putative phosphatase with phosphoglycerate mutase domain
cutC	2.4E-05	1.7E-03	10.4	10.9	10.1	12.5	copper homeostasis protein
yjbN	2.4E-05	1.7E-03	12.6	10.5	10.3	10.6	tRNA-dihydrouridine synthase A
yjjV	2.4E-05	1.7E-03	11.3	12.0	9.4	11.3	putative DNase
ydfU	2.5E-05	1.7E-03	11.5	10.0	10.2	12.3	conserved hypothetical protein; Qin prophage
ade	2.5E-05	1.7E-03	11.5	9.7	11.1	11.8	cryptic adenine deaminase
yeaZ	2.6E-05	1.7E-03	10.2	10.8	12.5	10.4	putative peptidase
phnD	2.6E-05	1.7E-03	12.3	10.4	11.5	9.9	phosphonate/organophosphate ester transporter subunit ; periplasmic binding component of ABC superfamily
emrK	2.6E-05	1.7E-03	10.9	10.8	12.5	9.9	EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component
hybG	2.7E-05	1.8E-03	12.4	10.8	10.4	10.4	hydrogenase 2 accessory protein
fhiA	2.8E-05	1.8E-03	12.5	11.0	10.6	9.9	flagellar system protein
yehU	2.8E-05	1.8E-03	11.5	11.5	9.4	11.6	sensory kinase in two-component system with YehT
phnJ	3.0E-05	1.8E-03	12.2	9.6	11.1	11.1	carbon-phosphorus lyase complex subunit
citB	3.1E-05	1.8E-03	11.6	9.5	11.6	11.2	DNA-binding response regulator in two-component regulatory system with citA
ydiT	3.1E-05	1.8E-03	11.8	9.4	11.4	11.3	putative 4Fe-4S ferredoxin-type oxidoreductase subunit
kdpE	3.2E-05	1.8E-03	10.9	11.4	12.1	9.5	DNA-binding response regulator in two-component regulatory system with KdpD
ycbW	3.2E-05	1.8E-03	10.1	12.0	11.8	10.1	conserved hypothetical protein
ymdC	3.2E-05	1.8E-03	12.5	10.5	11.0	10.0	putative hydrolase
yrdB	3.2E-05	1.8E-03	11.5	11.6	11.4	9.4	conserved hypothetical protein
kbaZ	3.3E-05	1.8E-03	12.1	9.5	11.4	11.0	tagatose 6-phosphate aldolase 1, kbaZ subunit
ugpQ	3.5E-05	1.9E-03	11.7	11.3	9.4	11.6	glycerophosphodiester phosphodiesterase, cytosolic
yjgB	3.6E-05	1.9E-03	11.1	9.5	12.1	11.3	putative alcohol dehydrogenase, Zn-dependent and NAD(P)-binding
ilvY	3.6E-05	1.9E-03	9.5	11.2	11.8	11.6	DNA-binding transcriptional dual regulator
gatY	3.7E-05	1.9E-03	10.9	10.3	12.6	10.2	D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit
ybaM	3.7E-05	1.9E-03	11.4	10.9	12.1	9.6	conserved hypothetical protein
priC	3.8E-05	1.9E-03	10.2	12.6	10.6	10.5	primosomal replication protein N
recB	3.9E-05	1.9E-03	12.4	10.2	10.2	11.2	exonuclease V (RecBCD complex), beta subunit
mtgA	4.1E-05	2.0E-03	11.5	10.3	9.9	12.3	biosynthetic peptidoglycan transglycosylase
yrfG	4.2E-05	2.0E-03	9.4	11.6	11.3	11.7	putative hydrolase
nhaR	4.2E-05	2.0E-03	10.7	10.4	10.2	12.6	DNA-binding transcriptional activator
rffM	4.4E-05	2.1E-03	11.3	12.1	9.5	11.2	UDP-N-acetyl-D-mannosaminuronic acid transferase
yedR	4.6E-05	2.1E-03	12.2	10.1	11.5	10.2	conserved hypothetical protein; putative inner membrane protein
yehL	4.6E-05	2.1E-03	11.1	9.4	11.9	11.6	putative ABC superfamily protein
yfhK	4.7E-05	2.1E-03	12.0	10.4	11.8	9.8	putative sensory kinase in two-component system
cueR	4.7E-05	2.1E-03	9.5	11.6	11.8	11.2	DNA-binding transcriptional activator of copper-responsive regulon genes
yedQ	4.8E-05	2.1E-03	11.9	9.5	11.1	11.6	putative diguanylate cyclase
ycgM	4.9E-05	2.1E-03	10.8	12.3	10.8	10.1	putative isomerase/hydrolase
eutG	4.9E-05	2.1E-03	11.9	9.5	11.7	10.9	putative alcohol dehydrogenase in ethanolamine utilization; ethanolaminosome
yjbC	5.1E-05	2.1E-03	11.6	11.9	9.5	11.0	23S rRNA pseudouridine synthase
slt	5.3E-05	2.2E-03	11.6	9.4	11.4	11.6	lytic murein transglycosylase, soluble
rumB	5.6E-05	2.3E-03	11.6	11.5	11.4	9.4	23S rRNA m(5)U747 methyltransferase
fcl	5.8E-05	2.3E-03	10.5	10.6	12.6	10.3	bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase and GDP-4-dehydro-6-L-deoxygalactose reductase
ybfN	5.9E-05	2.3E-03	11.4	11.2	11.9	9.4	putative lipoprotein
ulaC	6.1E-05	2.4E-03	10.9	9.8	11.6	11.7	L-ascorbate-specific enzyme IIA component of PTS
yaeJ	6.2E-05	2.4E-03	11.9	10.8	9.7	11.6	conserved hypothetical protein
yoaB	6.3E-05	2.4E-03	9.7	11.7	11.5	11.1	conserved hypothetical protein
phnL	6.3E-05	2.4E-03	11.0	9.6	12.2	11.1	carbon-phosphorus lyase complex subunit
wcaM	6.7E-05	2.5E-03	11.4	10.0	12.3	10.3	putative colanic acid biosynthesis protein
yadG	7.0E-05	2.5E-03	10.4	10.5	12.6	10.5	putative transporter subunit: ATP-binding component of ABC superfamily
yneJ	7.0E-05	2.5E-03	11.8	11.7	10.9	9.6	putative DNA-binding transcriptional regulator
ldcA	7.1E-05	2.6E-03	12.0	11.7	10.7	9.6	L,D-carboxypeptidase A
ydjA	7.2E-05	2.6E-03	10.3	11.6	11.8	10.2	putative oxidoreductase
dusC	7.6E-05	2.6E-03	11.0	12.1	11.4	9.5	tRNA-dihydrouridine synthase C
pfkA	7.6E-05	2.6E-03	9.4	11.2	11.7	11.7	6-phosphofructokinase I
yegV	7.7E-05	2.7E-03	10.9	10.0	10.6	12.5	putative kinase
ubiG	7.9E-05	2.7E-03	10.6	10.5	12.6	10.3	bifunctional 3-demethylubiquinone-9 3-methyltransferase and 2-octaprenyl-6-hydroxy phenol methylase
rcsB	7.9E-05	2.7E-03	9.5	11.3	11.4	11.7	DNA-binding response regulator in two-component regulatory system with RcsC and YojN
queC	8.1E-05	2.7E-03	10.8	10.4	10.2	12.6	queuosine biosynthesis protein
yfgH	8.2E-05	2.7E-03	11.3	9.4	11.4	11.9	putative outer membrane lipoprotein
abrB	9.0E-05	2.9E-03	11.7	9.4	11.2	11.7	putative membrane protein
yjjX	9.0E-05	2.9E-03	11.8	11.1	9.5	11.7	thiamin metabolism associated protein
cbrA	9.0E-05	2.9E-03	10.5	10.0	11.2	12.4	putative oxidoreductase with FAD/NAD(P)-binding domain
prpC	9.6E-05	3.1E-03	11.9	9.4	11.4	11.3	2-methylcitrate synthase
rsuA	9.7E-05	3.1E-03	11.9	11.6	11.1	9.5	16S rRNA pseudouridylate 516 synthase
fpr	9.8E-05	3.1E-03	11.5	10.8	12.1	9.6	ferredoxin-NADP reductase
agaS	9.9E-05	3.1E-03	10.7	10.4	10.3	12.6	tagatose-6-phosphate ketose/aldose isomerase
agaA	1.0E-04	3.1E-03	10.7	10.1	12.5	10.7	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25) (GlcNAc 6-P deacetylase)
csdA	1.1E-04	3.1E-03	10.2	10.6	12.6	10.6	cysteine sulfinate desulfinase
yrbF	1.1E-04	3.1E-03	9.5	11.3	11.4	11.8	toluene transporter subunit: ATP-binding component of ABC superfamily
ynfC	1.1E-04	3.1E-03	12.1	11.1	11.2	9.6	conserved hypothetical protein
phnM	1.1E-04	3.1E-03	11.0	12.0	11.4	9.5	carbon-phosphorus lyase complex subunit
xerD	1.1E-04	3.1E-03	10.8	12.5	10.2	10.5	site-specific tyrosine recombinase
yicN	1.1E-04	3.1E-03	11.0	12.2	9.6	11.1	conserved hypothetical protein
uvrD	1.1E-04	3.2E-03	11.2	11.7	9.4	11.7	DNA-dependent ATPase I and helicase II
ssuC	1.1E-04	3.2E-03	11.2	10.5	12.4	9.9	alkanesulfonate transporter subunit ; membrane component of ABC superfamily
agaR	1.1E-04	3.2E-03	12.6	10.5	10.6	10.3	fragment of DNA-binding transcriptional dual regulator (part 2)
yceG	1.2E-04	3.2E-03	10.7	10.3	12.6	10.4	fragment of putative conserved membrane associated protein (partial)
ybhJ	1.2E-04	3.2E-03	12.6	10.6	10.1	10.7	putative enzyme
ydeE	1.2E-04	3.2E-03	11.5	11.5	11.5	9.4	putative transporter
yniC	1.2E-04	3.2E-03	11.9	11.7	10.8	9.6	putative phosphoglycolate phosphatase
yedJ	1.2E-04	3.3E-03	9.4	11.5	11.7	11.4	putative metal-dependent phosphohydrolase
gcl	1.2E-04	3.3E-03	12.2	9.6	11.2	11.0	glyoxylate carboligase
dedA	1.2E-04	3.3E-03	10.8	12.6	10.2	10.4	conserved hypothetical protein; putative inner membrane protein
recG	1.3E-04	3.3E-03	10.6	11.8	9.7	11.9	ATP-dependent DNA helicase
ybfF	1.3E-04	3.3E-03	12.5	10.6	10.4	10.5	putative esterase
yjbH	1.3E-04	3.3E-03	10.9	10.3	12.6	10.2	putative porin
yebU	1.3E-04	3.4E-03	11.1	11.6	9.5	11.8	putative RNA AdoMet-dependent methyltransferase
trmA	1.3E-04	3.4E-03	9.8	10.8	11.9	11.6	tRNA (uracil-5-)-methyltransferase
ycjX	1.3E-04	3.4E-03	10.9	12.0	9.6	11.4	conserved hypothetical protein; putative nucleoside triphosphate hydrolase domain
yjcS	1.4E-04	3.5E-03	11.8	9.4	11.4	11.4	putative alkyl sulfatase
yeaL	1.5E-04	3.8E-03	11.7	10.7	9.6	11.9	conserved hypothetical protein; putative inner membrane protein
bfr	1.5E-04	3.8E-03	11.7	10.3	12.0	9.9	bacterioferritin, iron storage and detoxification protein
gltS	1.6E-04	3.8E-03	9.7	11.0	12.1	11.3	glutamate transporter
ypdA	1.7E-04	4.1E-03	12.1	9.7	11.6	10.6	putative sensory kinase in two-component system with YpdB
yjfC	1.7E-04	4.1E-03	11.0	10.2	12.5	10.3	fragment of putative synthetase/amidase (partial)
csrD	1.7E-04	4.1E-03	12.3	10.3	10.7	10.8	inner membrane associated factor modulating specific RNAseE dependent RNA degradation pathways
zraR	1.7E-04	4.1E-03	10.8	11.7	11.8	9.7	fused DNA-binding response regulator in two-component regulatory system with ZraS: response regulator ; sigma54 interaction protein
yadI	1.7E-04	4.1E-03	10.8	10.4	10.2	12.6	putative PTS Enzyme IIA
yeiI	1.7E-04	4.1E-03	11.9	11.9	10.4	9.8	putative kinase
ycjW	1.7E-04	4.1E-03	10.4	12.1	11.6	9.8	putative DNA-binding transcriptional regulator
creB	1.8E-04	4.2E-03	11.8	9.5	11.1	11.5	DNA-binding response regulator in two-component regulatory system with CreC
yecP	1.8E-04	4.2E-03	10.6	12.3	9.8	11.3	conserved hypothetical protein
yecE	1.8E-04	4.2E-03	12.4	11.2	10.1	10.3	conserved hypothetical protein
ccmB	1.9E-04	4.3E-03	12.4	11.2	10.3	10.1	heme exporter subunit ; membrane component of ABC superfamily
ychP	2.0E-04	4.4E-03	12.0	11.1	11.4	9.5	putative adhesin/invasin
yhjX	2.0E-04	4.4E-03	11.5	10.5	12.2	9.8	putative transporter
wzc	2.0E-04	4.4E-03	11.5	11.0	9.5	11.9	protein-tyrosine kinase
ybcQ	2.0E-04	4.4E-03	10.3	10.2	11.1	12.5	putative antitermination protein Q homolog; DLP12 prophage
metJ	2.0E-04	4.4E-03	10.5	10.9	12.2	10.5	DNA-binding transcriptional repressor, S-adenosylmethionine-binding
ybjE	2.0E-04	4.4E-03	11.5	11.6	11.3	9.6	putative transporter
speC	2.0E-04	4.4E-03	11.2	10.0	12.3	10.5	ornithine decarboxylase, constitutive
yhcC	2.1E-04	4.4E-03	10.4	11.6	12.1	9.8	putative Fe-S oxidoreductase
btuC	2.1E-04	4.5E-03	12.5	11.1	10.1	10.3	vitamin B12 transporter subunit: membrane component of ABC superfamily
yqaA	2.1E-04	4.5E-03	11.1	11.8	9.6	11.5	conserved hypothetical protein; putative inner membrane protein
uhpB	2.2E-04	4.7E-03	11.3	10.4	12.2	10.1	sensory histidine kinase in two-component regulatory sytem with UhpA
wza	2.3E-04	4.8E-03	12.3	11.4	10.0	10.3	fragment of lipoprotein required for capsular polysaccharide translocation through the outer membrane (part 1)
yiaF	2.4E-04	5.0E-03	10.3	12.2	11.6	9.9	conserved hypothetical protein
fepG	2.4E-04	5.0E-03	10.6	12.3	10.0	11.1	iron-enterobactin transporter subunit ; membrane component of ABC superfamily
yfjD	2.4E-04	5.0E-03	10.9	9.7	12.0	11.5	conserved hypothetical protein; putative inner membrane protein
wcaK	2.4E-04	5.0E-03	11.0	9.5	11.8	11.7	putative pyruvyl transferase
ybgA	2.4E-04	5.0E-03	9.8	10.4	11.6	12.2	conserved hypothetical protein
pck	2.5E-04	5.0E-03	11.2	9.6	11.6	11.6	phosphoenolpyruvate carboxykinase
yiaC	2.5E-04	5.0E-03	10.8	10.7	12.5	10.0	putative acyltransferase with acyl-CoA N-acyltransferase domain
ybhG	2.5E-04	5.0E-03	10.3	10.6	12.4	10.7	putative membrane fusion protein (MFP) component of efflux pump, membrane anchor; UPF0194 family
yieP	2.5E-04	5.0E-03	11.8	11.2	11.4	9.6	putative transcriptional regulator
yfgI	2.6E-04	5.0E-03	11.6	10.5	12.1	9.8	conserved hypothetical protein
ybaP	2.6E-04	5.1E-03	11.1	10.1	10.3	12.5	conserved hypothetical protein
ybiC	2.6E-04	5.1E-03	12.0	11.1	10.6	10.3	putative hydroxyacid dehydrogenase
gloB	2.7E-04	5.2E-03	11.9	11.4	9.5	11.2	putative hydroxyacylglutathione hydrolase
ytfT	2.7E-04	5.2E-03	11.4	12.0	9.5	11.1	putative sugar transporter subunit: membrane component of ABC superfamily
tusD	2.8E-04	5.2E-03	10.6	9.8	11.7	12.0	methylsulfur transfer protein
selB	2.8E-04	5.2E-03	11.3	11.9	11.4	9.5	selenocysteinyl-tRNA-specific translation factor
yfhM	2.8E-04	5.2E-03	11.3	12.1	9.6	11.1	conserved hypothetical protein
grpE	2.8E-04	5.2E-03	10.1	11.5	10.4	12.0	heat shock protein
ubiC	2.8E-04	5.2E-03	11.8	9.4	11.6	11.2	chorismate pyruvate lyase
pitB	2.9E-04	5.3E-03	11.1	11.6	11.8	9.5	phosphate transporter
pgl	2.9E-04	5.3E-03	10.9	11.3	11.8	10.0	6-phosphogluconolactonase
ftsX	2.9E-04	5.4E-03	11.0	9.6	12.1	11.3	transporter subunit: membrane component of ABC superfamily
wcaC	2.9E-04	5.4E-03	10.7	12.1	11.5	9.6	putative glycosyl transferase
djlA	3.0E-04	5.5E-03	12.5	10.8	10.0	10.6	DnaJ-like protein, membrane anchored
yjcO	3.0E-04	5.5E-03	9.4	11.6	11.5	11.5	conserved hypothetical protein
ruvB	3.0E-04	5.5E-03	9.5	12.0	10.9	11.6	ATP-dependent DNA helicase, component of RuvABC resolvasome
ftsL	3.1E-04	5.5E-03	9.8	10.7	12.3	11.2	membrane bound cell division protein at septum containing leucine zipper motif
pepD	3.1E-04	5.5E-03	11.5	9.8	11.7	11.0	aminoacyl-histidine dipeptidase (peptidase D)
nrdI	3.1E-04	5.5E-03	10.4	11.9	10.9	10.8	protein that stimulates ribonucleotide reduction
ygiP	3.1E-04	5.5E-03	11.6	11.6	9.6	11.3	putative DNA-binding transcriptional regulator
sohA	3.1E-04	5.5E-03	11.6	11.4	11.0	10.0	putative regulator
mdtF	3.2E-04	5.5E-03	11.1	11.5	9.5	12.0	multidrug transporter, RpoS-dependent
rph	3.2E-04	5.5E-03	11.9	11.6	10.8	9.7	ribonuclease PH
bisC	3.2E-04	5.5E-03	10.9	9.6	12.2	11.3	biotin sulfoxide reductase
yqiK	3.2E-04	5.5E-03	11.1	9.7	10.9	12.3	conserved hypothetical protein
ynfO	3.2E-04	5.5E-03	11.0	10.5	10.0	12.5	conserved hypothetical protein; Qin prophage
yfiN	3.3E-04	5.5E-03	11.9	11.3	11.4	9.4	putative diguanylate cyclase
glpD	3.3E-04	5.5E-03	10.4	10.2	12.5	10.9	sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding
yffI	3.3E-04	5.5E-03	9.8	10.9	12.2	11.1	putative ethanolaminosome structural protein with putative role in ethanolamine utilization
mdoC	3.3E-04	5.5E-03	11.5	10.3	12.1	10.0	membrane protein required for modification of periplasmic glucan
hypD	3.3E-04	5.5E-03	11.5	10.3	10.5	11.7	protein required for maturation of hydrogenases
ybbO	3.3E-04	5.5E-03	11.7	10.8	11.9	9.6	putative oxidoreductase with NAD(P)-binding Rossmann-fold domain
nikD	3.4E-04	5.5E-03	9.8	10.8	11.1	12.3	nickel transporter subunit ; ATP-binding component of ABC superfamily
iap	3.4E-04	5.5E-03	10.8	11.0	12.4	9.8	aminopeptidase in alkaline phosphatase isozyme conversion
yfcN	3.4E-04	5.5E-03	11.9	9.8	11.9	10.4	conserved hypothetical protein
cyoE	3.4E-04	5.5E-03	11.0	11.6	9.7	11.6	protoheme IX farnesyltransferase
ytfG	3.4E-04	5.5E-03	10.5	11.9	11.9	9.7	NAD(P)H:quinone oxidoreductase
ygcR	3.4E-04	5.5E-03	11.8	11.3	11.5	9.5	putative flavoprotein
yahI	3.8E-04	6.0E-03	11.7	11.2	11.6	9.5	putative carbamate kinase
gatZ	3.8E-04	6.0E-03	10.4	10.3	12.6	10.7	D-tagatose 1,6-bisphosphate aldolase 2, subunit
ydbH	3.8E-04	6.0E-03	10.0	10.7	12.5	10.8	conserved hypothetical protein
phnB	3.8E-04	6.0E-03	9.5	11.1	11.6	11.9	conserved hypothetical protein
yjeP	3.8E-04	6.0E-03	10.9	12.0	11.5	9.6	putative mechanosensitive channel
fucU	3.8E-04	6.0E-03	12.1	10.5	11.6	9.9	L-fucose mutarotase
ccmH	3.9E-04	6.1E-03	9.9	11.3	10.7	12.1	heme lyase, CcmH subunit
rhaD	3.9E-04	6.1E-03	10.0	10.2	11.5	12.3	rhamnulose-1-phosphate aldolase
yfhA	4.0E-04	6.1E-03	12.1	11.4	9.5	11.1	putative DNA-binding response regulator in two-component system
yjfI	4.0E-04	6.1E-03	12.5	10.2	10.7	10.6	conserved hypothetical protein
emtA	4.0E-04	6.1E-03	10.2	12.5	10.7	10.5	lytic murein endotransglycosylase E
yajR	4.1E-04	6.2E-03	10.3	12.5	10.9	10.2	putative transporter, major facilitator family
ssuD	4.2E-04	6.3E-03	11.9	11.1	11.4	9.5	alkanesulfonate monooxygenase, FMNH(2)-dependent
aroH	4.2E-04	6.3E-03	10.8	11.7	9.7	11.8	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible
yeeJ	4.2E-04	6.4E-03	12.2	10.4	10.0	11.4	fragment of adhesin (part 1)
yhhF	4.3E-04	6.4E-03	12.5	10.1	10.6	10.8	putative methyltransferase
ydgA	4.3E-04	6.4E-03	11.2	11.5	9.4	11.8	conserved hypothetical protein
yggD	4.5E-04	6.6E-03	11.2	10.6	12.4	9.8	putative DNA-binding transcriptional regulator
ybiW	4.5E-04	6.6E-03	11.1	11.6	9.5	11.9	putative glycyl radical cofactor protein
acpS	4.5E-04	6.7E-03	11.4	11.6	11.5	9.4	holo-[acyl-carrier-protein] synthase 1
araD	4.6E-04	6.7E-03	10.7	10.4	10.3	12.6	L-ribulose-5-phosphate 4-epimerase
fadE	4.7E-04	6.8E-03	11.0	10.1	12.1	10.9	acyl coenzyme A dehydrogenase
ydfQ	4.7E-04	6.8E-03	10.9	10.3	10.2	12.5	putative membrane-associated lysozyme; Qin prophage
clcA	4.7E-04	6.8E-03	10.8	12.6	10.3	10.4	chloride channel, voltage-gated
yeiB	4.8E-04	6.8E-03	11.6	11.9	10.8	9.7	conserved hypothetical protein; putative inner membrane protein
gltL	4.8E-04	6.8E-03	11.2	11.7	9.7	11.4	glutamate and aspartate transporter subunit ; ATP-binding component of ABC superfamily
copA	4.8E-04	6.8E-03	10.7	12.4	9.9	10.9	copper transporter
ygdL	4.8E-04	6.8E-03	11.4	10.0	10.3	12.3	conserved hypothetical protein
dnaQ	4.8E-04	6.8E-03	11.4	9.4	11.4	11.8	DNA polymerase III epsilon subunit
yncD	4.9E-04	6.8E-03	11.6	11.3	11.4	9.7	fragment of putative iron outer membrane receptor (part 2)
murE	4.9E-04	6.8E-03	10.5	10.8	10.2	12.5	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase
ybjD	4.9E-04	6.8E-03	11.5	9.7	10.6	12.1	conserved hypothetical protein; putative nucleoside triphosphate hydrolase domain
yfeG	4.9E-04	6.8E-03	9.5	11.2	12.1	11.2	putative DNA-binding transcriptional regulator
fdhD	5.0E-04	6.9E-03	10.6	12.0	11.7	9.7	formate dehydrogenase formation protein
rtcR	5.1E-04	7.0E-03	10.5	11.3	12.3	9.9	sigma 54-dependent transcriptional regulator of rtcBA expression
yiiU	5.3E-04	7.1E-03	11.7	11.5	11.4	9.5	conserved hypothetical protein
yhcM	5.3E-04	7.1E-03	12.5	10.8	10.1	10.6	conserved hypothetical protein; putative nucleoside triphosphate hydrolase domain
bioH	5.3E-04	7.1E-03	11.1	11.4	9.5	12.0	carboxylesterase of pimeloyl-CoA synthesis
yicH	5.3E-04	7.2E-03	12.1	10.0	10.3	11.6	conserved hypothetical protein
iaaA	5.3E-04	7.2E-03	10.4	10.5	10.7	12.4	isoaspartyl dipeptidase with L-asparaginase activity
agaD	5.4E-04	7.2E-03	11.0	10.0	12.5	10.6	N-acetylgalactosamine-specific enzyme IID component of PTS
gss	5.4E-04	7.2E-03	9.8	10.4	12.0	11.8	fused glutathionylspermidine amidase ; glutathionylspermidine synthetase
moeA	5.4E-04	7.2E-03	11.4	11.7	11.2	9.7	molybdopterin biosynthesis protein
uspA	5.4E-04	7.2E-03	11.4	11.3	11.7	9.5	universal stress global response regulator
yjiE	5.5E-04	7.2E-03	9.5	11.6	11.8	11.0	putative DNA-binding transcriptional regulator
norW	5.6E-04	7.3E-03	10.4	9.8	12.1	11.7	NADH:flavorubredoxin oxidoreductase
mutS	5.6E-04	7.3E-03	9.7	12.1	10.6	11.6	methyl-directed mismatch repair protein
kefB	5.6E-04	7.3E-03	11.1	9.9	11.5	11.5	potassium:proton antiporter
bcsA	5.6E-04	7.3E-03	11.7	9.5	11.4	11.4	cellulose synthase, catalytic subunit
cyaA	5.7E-04	7.4E-03	9.5	11.5	11.7	11.4	adenylate cyclase
ybjM	5.8E-04	7.4E-03	12.1	10.9	9.8	11.2	conserved hypothetical protein; putative inner membrane protein
ydfC	5.8E-04	7.4E-03	10.3	10.5	10.6	12.5	conserved hypothetical protein; Qin prophage
yggP	5.8E-04	7.4E-03	12.2	10.6	11.4	9.8	putative dehydrogenase
yhhK	5.9E-04	7.4E-03	11.4	10.5	9.8	12.3	conserved hypothetical protein
yeaE	5.9E-04	7.4E-03	9.7	12.1	10.7	11.5	putative oxidoreductase
yidR	5.9E-04	7.4E-03	11.7	9.8	10.4	12.0	conserved hypothetical protein
ydiB	5.9E-04	7.5E-03	11.0	11.9	9.7	11.4	quinate/shikimate 5-dehydrogenase, NAD(P)-binding
ycdW	6.0E-04	7.5E-03	10.7	11.6	11.5	10.2	2-ketoacid reductase
macA	6.0E-04	7.5E-03	11.9	10.6	11.7	9.8	macrolide transporter subunit, membrane fusion protein (MFP) component
acrF	6.0E-04	7.5E-03	10.7	10.3	10.5	12.6	multidrug efflux system protein
